",Apple, Inc.;,Facebook, Inc.;,Amazon.com, Inc.;,Alphabet Inc."
"esg_id,217039;esg_id,224010;esg_id,224110;esg_id,224210"
"company_name,Apple, Inc.;company_name,Facebook, Inc.;company_name,Amazon.com, Inc.;company_name,Alphabet Inc."
"exchange_symbol,NASDAQ;exchange_symbol,NASDAQ;exchange_symbol,NASDAQ;exchange_symbol,NASDAQ"
"stock_symbol,AAPL;stock_symbol,META;stock_symbol,AMZN;stock_symbol,GOOGL"
"environment_grade,BB;environment_grade,A;environment_grade,A;environment_grade,BB"
"environment_level,Medium;environment_level,High;environment_level,High;environment_level,Medium"
"social_grade,B;social_grade,B;social_grade,BB;social_grade,BB"
"social_level,Medium;social_level,Medium;social_level,Medium;social_level,Medium"
"governance_grade,B;governance_grade,B;governance_grade,BBB;governance_grade,BB"
"governance_level,Medium;governance_level,Medium;governance_level,High;governance_level,Medium"
"total_grade,BB;total_grade,BBB;total_grade,A;total_grade,B"
"last_processing_date,07-07-2022;last_processing_date,07-07-2022;last_processing_date,07-07-2022;last_processing_date,07-07-2022"
"environment_score,355;environment_score,515;environment_score,650;environment_score,350"
"social_score,276;social_score,247;social_score,323;social_score,326"
"governance_score,255;governance_score,245;governance_score,455;governance_score,358"
"total,886;total,1007;total,1428;total,1034"
